n_inputs,input_slugs,n_notebooks_used,notebooks_used,n_datasets_used,datasets_used,n_models_used,models_used,competitions_used,slug,ref
2,birdclef-2026|competitions,0,,0,,0,,birdclef-2026,lissandrakruse__fork-of-fork-of-fork-of-fork-of-fork-of-for-dd0c37,lissandrakruse/fork-of-fork-of-fork-of-fork-of-fork-of-for-dd0c37
2,birdclef-2026|competitions,0,,0,,0,,birdclef-2026,lissandrakruse__fork-of-notebook8c0f76c3c1-98c844,lissandrakruse/fork-of-notebook8c0f76c3c1-98c844
2,birdclef-2026|competitions,0,,0,,0,,birdclef-2026,lissandrakruse__notebook8c0f76c3c1,lissandrakruse/notebook8c0f76c3c1
2,birdclef-2026|competitions,0,,0,,0,,birdclef-2026,lissandrakruse__notebookf6f1e767b1,lissandrakruse/notebookf6f1e767b1
2,competitions|datasets,0,,7,hengck23/hengck23-birdclef-2026-00|lixin73/birdclef2026-v27-onnx-perch-meta-forum-v1-lb872|lixin73/perch-protossm-ext33-artifacts|ttahara/birdclef2026-train-audio-npy-00|ttahara/birdclef2026-train-audio-npy-01|ttahara/birdclef2026-train-audio-npy-02|ttahara/birdclef2026-train-audio-npy-03,0,,birdclef-2026,lixin73__perch-onnx-baseline-stage1,lixin73/perch-onnx-baseline-stage1
1,competitions,0,,0,,0,,birdclef-2026,lucashmateo__bird-competition-try,lucashmateo/bird-competition-try
5,competitions|datasets|models|notebooks|perch-meta,2,ashok205/tf-wheels|vyankteshdwivedi/notebook1b25083f0d,6,hideyukizushi/sgkfk-202604041716|jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|tuckerarrants/bc2026-distilled-sed-public|tuckerarrants/birdclef-2026-waveform-cache|tuckerarrants/perch-v2-no-dft-onnx,1,google/bird-vocalization-classifier,birdclef-2026,lucataco__bc26-nina-ensemble2-sanitized,lucataco/bc26-nina-ensemble2-sanitized
1,competitions,0,,0,,0,,birdclef-2026,m0delcrafter__chirp-imagery-visual-bird-ai-tf,m0delcrafter/chirp-imagery-visual-bird-ai-tf
0,,0,,0,,0,,,machengyuan__sedmodelv2-infer,machengyuan/sedmodelv2-infer
3,competitions|datasets|models,0,,2,jaejohn/perch-meta|jeajohn/perch-meta,2,google/bird-vocalization-classifier|google/yamnet,birdclef-2026,mah20050__segperch-audio-distillation-and-inference-scaling,mah20050/segperch-audio-distillation-and-inference-scaling
2,competitions|models,0,,0,,2,marcusewang/gem-efficient-net|marcusewang/test-model,birdclef-2026,marcusewang__birdclef-gem-efficient-net-baseline-training,marcusewang/birdclef-gem-efficient-net-baseline-training
2,competitions|models,0,,0,,1,marcusewang/gem-hg-net-v2-b0,birdclef-2026,marcusewang__gem-focal-loss-baseline-inference,marcusewang/gem-focal-loss-baseline-inference
0,,0,,0,,0,,,martinaolivato__tensorflow-2-20-environment-setup,martinaolivato/tensorflow-2-20-environment-setup
1,competitions,0,,0,,0,,birdclef-2026,marylka__birdclef-2026-eda,marylka/birdclef-2026-eda
1,competitions,0,,0,,0,,birdclef-2026,marylka__birdclef-2026-pytorch-baseline,marylka/birdclef-2026-pytorch-baseline
3,birdclef-2026|competitions|perch-meta,0,,0,,0,,birdclef-2026,marynaborovska__birdclef-26-biological-heuristics-improvements,marynaborovska/birdclef-26-biological-heuristics-improvements
5,competitions|datasets|models|notebooks|perch-meta,1,ashok205/tf-wheels,1,jaejohn/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,marynaborovska__birdclef-26-protossm-inference-0-928-lb,marynaborovska/birdclef-26-protossm-inference-0-928-lb
3,birdclef-2026|competitions|perch-meta,0,,0,,0,,birdclef-2026,marynaborovska__birdclef-26-protossm-v5-optimised-baseline,marynaborovska/birdclef-26-protossm-v5-optimised-baseline
4,competitions|datasets|models|notebooks,1,ashok205/tf-wheels,1,yuriygreben/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,marynaborovska__birdclef-26-protossm-v5-resboosting-0-927-lb,marynaborovska/birdclef-26-protossm-v5-resboosting-0-927-lb
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,marynaborovska__birdclef-26-two-pass-ssm-advanced-pp,marynaborovska/birdclef-26-two-pass-ssm-advanced-pp
3,birdclef-2026|competitions|models,0,,0,,1,mateuszwcawski/birdclefmodel1,birdclef-2026,mateuszwcawski__bird-clef2026mw,mateuszwcawski/bird-clef2026mw
1,notebooks,1,ttahara/birdclef-2026-download-wheels,0,,0,,,matrixamp__birdclef2026-hgnetv2-sed-inference,matrixamp/birdclef2026-hgnetv2-sed-inference
4,competitions|models|notebooks|perch-meta,1,ashok205/tf-wheels,0,,1,google/bird-vocalization-classifier,birdclef-2026,matrixamp__birdclef2026-keepimproving-fork,matrixamp/birdclef2026-keepimproving-fork
5,competitions|datasets|models|notebooks|perch-meta,1,ashok205/tf-wheels,1,jaejohn/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,matrixamp__birdclef2026-miaaaf-v18x-fork,matrixamp/birdclef2026-miaaaf-v18x-fork
5,birdclef-2026-hgnetv2-b0-baseline-training|competitions|datasets|models|notebooks,2,ashok205/tf-wheels|ttahara/birdclef-2026-hgnetv2-b0-baseline-training,1,yuriygreben/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,matrixamp__birdclef2026-yuriy-improved-ensemble,matrixamp/birdclef2026-yuriy-improved-ensemble
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,mattiaangeli__birdclef-2026-0-943-better-blend,mattiaangeli/birdclef-2026-0-943-better-blend
6,bc2026-distilled-sed|bc2026-distilled-sed-public|birdclef-2026|competitions|datasets|models,0,,3,rishikeshjani/perch-onnx-for-birdclef-2026|tuckerarrants/bc2026-distilled-sed-public|tuckerarrants/perch-v2-no-dft-onnx,1,google/bird-vocalization-classifier,birdclef-2026,mattiaangeli__birdclef-protossm-efficientnet-sed-all-public,mattiaangeli/birdclef-protossm-efficientnet-sed-all-public
2,competitions|datasets,0,,2,meenalsinha/nb1-perch|meenalsinha/nb2-sed,0,,birdclef-2026,meenalsinha__birdclef-2026,meenalsinha/birdclef-2026
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,meenalsinha__birdclef-2026-improved,meenalsinha/birdclef-2026-improved
2,competitions|models,0,,0,,1,google/bird-vocalization-classifier,birdclef-2026,melccoro__birdclef-2026-eda-a-beginner-s-guide,melccoro/birdclef-2026-eda-a-beginner-s-guide
4,competitions|datasets|models|notebooks,1,ashok205/tf-wheels,1,yuriygreben/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,miaaaf__birdclef-2026-m3-fast,miaaaf/birdclef-2026-m3-fast
4,competitions|datasets|models|notebooks,1,ashok205/tf-wheels,1,yuriygreben/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,miaaaf__birdclef-2026-m4-fast,miaaaf/birdclef-2026-m4-fast
5,competitions|datasets|models|notebooks|perch-meta,1,ashok205/tf-wheels,1,jaejohn/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,miaaaf__m15-freq-focal-miaaaf,miaaaf/m15-freq-focal-miaaaf
5,competitions|datasets|models|notebooks|perch-meta,1,ashok205/tf-wheels,1,jaejohn/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,miaaaf__m23-stopgrad-delta-smooth-miaaaf,miaaaf/m23-stopgrad-delta-smooth-miaaaf
5,competitions|datasets|models|notebooks|perch-meta,1,ashok205/tf-wheels,1,jaejohn/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,miaaaf__m26b-stopgrad-prior-tuned,miaaaf/m26b-stopgrad-prior-tuned
5,competitions|datasets|models|notebooks|perch-meta,1,ashok205/tf-wheels,1,jaejohn/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,miaaaf__m27b-stopgrad-strong-distill,miaaaf/m27b-stopgrad-strong-distill
5,competitions|datasets|models|notebooks|perch-meta,1,ashok205/tf-wheels,1,jaejohn/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,miaaaf__pantanal-distill-birdclef2026-miaaaf-d384-50ep,miaaaf/pantanal-distill-birdclef2026-miaaaf-d384-50ep
5,competitions|datasets|models|notebooks|perch-meta,1,ashok205/tf-wheels,1,jaejohn/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,miaaaf__pantanal-distill-birdclef2026-miaaaf-d384-a52,miaaaf/pantanal-distill-birdclef2026-miaaaf-d384-a52
5,competitions|datasets|models|notebooks|perch-meta,1,ashok205/tf-wheels,1,jaejohn/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,miaaaf__pantanal-distill-birdclef2026-miaaaf-d384-do006,miaaaf/pantanal-distill-birdclef2026-miaaaf-d384-do006
5,competitions|datasets|models|notebooks|perch-meta,1,ashok205/tf-wheels,1,jaejohn/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,miaaaf__pantanal-distill-birdclef2026-miaaaf-d384-do008,miaaaf/pantanal-distill-birdclef2026-miaaaf-d384-do008
5,competitions|datasets|models|notebooks|perch-meta,1,ashok205/tf-wheels,1,jaejohn/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,miaaaf__pantanal-distill-birdclef2026-miaaaf-d384-do13,miaaaf/pantanal-distill-birdclef2026-miaaaf-d384-do13
5,competitions|datasets|models|notebooks|perch-meta,1,ashok205/tf-wheels,1,jaejohn/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,miaaaf__pantanal-distill-birdclef2026-miaaaf-d384-ds24,miaaaf/pantanal-distill-birdclef2026-miaaaf-d384-ds24
5,competitions|datasets|models|notebooks|perch-meta,1,ashok205/tf-wheels,1,jaejohn/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,miaaaf__pantanal-distill-birdclef2026-miaaaf-d384-ds48,miaaaf/pantanal-distill-birdclef2026-miaaaf-d384-ds48
5,competitions|datasets|models|notebooks|perch-meta,1,ashok205/tf-wheels,1,jaejohn/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,miaaaf__pantanal-distill-birdclef2026-miaaaf-d384-nl5-ca4,miaaaf/pantanal-distill-birdclef2026-miaaaf-d384-nl5-ca4
5,competitions|datasets|models|notebooks|perch-meta,1,ashok205/tf-wheels,1,jaejohn/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,miaaaf__pantanal-distill-birdclef2026-miaaaf-d384-rank03,miaaaf/pantanal-distill-birdclef2026-miaaaf-d384-rank03
5,competitions|datasets|models|notebooks|perch-meta,1,ashok205/tf-wheels,1,jaejohn/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,miaaaf__pantanal-distill-birdclef2026-miaaaf-d416,miaaaf/pantanal-distill-birdclef2026-miaaaf-d416
5,competitions|datasets|models|notebooks|perch-meta,1,ashok205/tf-wheels,1,jaejohn/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,miaaaf__pantanal-distill-birdclef2026-v18-res0,miaaaf/pantanal-distill-birdclef2026-v18-res0
5,competitions|datasets|models|notebooks|perch-meta,1,ashok205/tf-wheels,1,jaejohn/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,miaaaf__pantanal-distill-birdclef2026-v18-res35,miaaaf/pantanal-distill-birdclef2026-v18-res35
5,competitions|datasets|models|notebooks|perch-meta,1,ashok205/tf-wheels,1,jaejohn/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,miaaaf__pantanal-distill-birdclef2026-v18x-alpha49,miaaaf/pantanal-distill-birdclef2026-v18x-alpha49
5,competitions|datasets|models|notebooks|perch-meta,1,ashok205/tf-wheels,1,jaejohn/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,miaaaf__pantanal-distill-birdclef2026-v18x-alpha55,miaaaf/pantanal-distill-birdclef2026-v18x-alpha55
5,competitions|datasets|models|notebooks|perch-meta,1,ashok205/tf-wheels,1,jaejohn/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,miaaaf__pantanal-distill-birdclef2026-v18x-delta,miaaaf/pantanal-distill-birdclef2026-v18x-delta
4,competitions|datasets|models|notebooks,1,ashok205/tf-wheels,1,yuriygreben/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,miaaaf__pantanal-distill-birdclef2026-v18x-delta25-a48,miaaaf/pantanal-distill-birdclef2026-v18x-delta25-a48
5,competitions|datasets|models|notebooks|perch-meta,1,ashok205/tf-wheels,1,jaejohn/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,miaaaf__pantanal-distill-birdclef2026-v18x-layers6,miaaaf/pantanal-distill-birdclef2026-v18x-layers6
5,competitions|datasets|models|notebooks|perch-meta,1,ashok205/tf-wheels,1,jaejohn/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,miaaaf__pantanal-distill-birdclef2026-v18x-mlp,miaaaf/pantanal-distill-birdclef2026-v18x-mlp
5,competitions|datasets|models|notebooks|perch-meta,1,ashok205/tf-wheels,1,jaejohn/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,miaaaf__pantanal-distill-birdclef2026-v18x-temp,miaaaf/pantanal-distill-birdclef2026-v18x-temp
5,competitions|datasets|models|notebooks|perch-meta,1,ashok205/tf-wheels,1,jaejohn/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,miaaaf__pantanal-distill-birdclef2026-v18y,miaaaf/pantanal-distill-birdclef2026-v18y
5,competitions|datasets|models|notebooks|perch-meta,1,ashok205/tf-wheels,1,jaejohn/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,miaaaf__pantanal-distill-birdclef2026-wslll-xd416nl5-a,miaaaf/pantanal-distill-birdclef2026-wslll-xd416nl5-a
0,,0,,0,,0,,,miaaaf__pantanal-distill-birdclef2026-wslll-xdo007-c,miaaaf/pantanal-distill-birdclef2026-wslll-xdo007-c
5,competitions|datasets|models|notebooks|perch-meta,1,ashok205/tf-wheels,1,jaejohn/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,miaaaf__pantanal-distill-birdclef2026-wslll-xds48nl5-b,miaaaf/pantanal-distill-birdclef2026-wslll-xds48nl5-b
5,competitions|datasets|models|notebooks|perch-meta,1,ashok205/tf-wheels,1,jaejohn/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,miaaaf__v18x-dmodel,miaaaf/v18x-dmodel
5,competitions|datasets|models|notebooks|perch-meta,1,ashok205/tf-wheels,1,jaejohn/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,miaaaf__w11-oof-framework-miaaaf,miaaaf/w11-oof-framework-miaaaf
5,competitions|datasets|models|notebooks|perch-meta,1,ashok205/tf-wheels,1,jaejohn/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,miaaaf__w13-temp-tuning-miaaaf,miaaaf/w13-temp-tuning-miaaaf
5,competitions|datasets|models|notebooks|perch-meta,1,ashok205/tf-wheels,1,jaejohn/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,miaaaf__w14-residual-tweak-miaaaf,miaaaf/w14-residual-tweak-miaaaf
4,competitions|datasets|models|notebooks,3,skidive/birdclef-2026-onnx-perch-sequence-model-302597|ttahara/birdclef-2026-download-wheels|ttahara/birdclef-2026-hgnetv2-b0-baseline-training,4,rishikeshjani/perch-onnx-for-birdclef-2026|skidive/no-wav-use|tuckerarrants/bc2026-distilled-sed-public|tuckerarrants/perch-v2-no-dft-onnx,1,google/bird-vocalization-classifier,birdclef-2026,micheal1994__ablation-0506,micheal1994/ablation-0506
1,datasets,0,,2,nikitababich/birdclef2025-1st-place-ensemble|nikitababich/runtimes-onnx-openvino,0,,,mirzamilanfarabi__birdclef-2025-files,mirzamilanfarabi/birdclef-2025-files
3,birdclef2025-1st-place-ensemble|competitions|notebooks,1,mirzamilanfarabi/birdclef-2025-files,0,,0,,birdclef-2026,mirzamilanfarabi__birdclef2025-1st-place-inference-v2,mirzamilanfarabi/birdclef2025-1st-place-inference-v2
9,birdclef2026-effnet-5fold|birdclef2026-protossm-500ep|competitions|datasets|mlnjsh|models|perch-mlp-weights|perch-onnx|protossm-10k,0,,3,jaejohn/perch-meta|mlnjsh/birdclef2026-effnet-5fold|mlnjsh/perch-onnx,1,google/bird-vocalization-classifier,birdclef-2026,mlnjsh__birdclef2026-perch-v75,mlnjsh/birdclef2026-perch-v75
9,birdclef2026-effnet-5fold|birdclef2026-protossm-500ep|competitions|datasets|mlnjsh|models|perch-mlp-weights|perch-onnx|protossm-10k,0,,3,jaejohn/perch-meta|mlnjsh/birdclef2026-effnet-5fold|mlnjsh/perch-onnx,1,google/bird-vocalization-classifier,birdclef-2026,mlnjsh__birdclef2026-perch-v76,mlnjsh/birdclef2026-perch-v76
9,birdclef2026-effnet-5fold|birdclef2026-protossm-500ep|competitions|datasets|mlnjsh|models|perch-mlp-weights|perch-onnx|protossm-10k,0,,3,jaejohn/perch-meta|mlnjsh/birdclef2026-effnet-5fold|mlnjsh/perch-onnx,1,google/bird-vocalization-classifier,birdclef-2026,mlnjsh__birdclef2026-perch-v77,mlnjsh/birdclef2026-perch-v77
9,birdclef2026-effnet-5fold|birdclef2026-protossm-500ep|competitions|datasets|mlnjsh|models|perch-mlp-weights|perch-onnx|protossm-10k,0,,3,jaejohn/perch-meta|mlnjsh/birdclef2026-effnet-5fold|mlnjsh/perch-onnx,1,google/bird-vocalization-classifier,birdclef-2026,mlnjsh__birdclef2026-perch-v78,mlnjsh/birdclef2026-perch-v78
1,competitions,0,,0,,0,,birdclef-2026,mpwolke__birdclef-2026-brazil-s-pantanal-wetlands,mpwolke/birdclef-2026-brazil-s-pantanal-wetlands
1,birdclef-2026,0,,0,,0,,,mrmshahidsardar__birdclef-2026-acoustic-species-identification,mrmshahidsardar/birdclef-2026-acoustic-species-identification
3,competitions|datasets|models,0,,1,yuriygreben/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,mtoshidesu__0-928-bird26-reproduce-perch-protossm-resssm,mtoshidesu/0-928-bird26-reproduce-perch-protossm-resssm
2,competitions|models,0,,0,,1,google/bird-vocalization-classifier,birdclef-2026,mtoshidesu__0-932-test-mod-version-4,mtoshidesu/0-932-test-mod-version-4
6,bc2026-distilled-sed|bc2026-distilled-sed-public|birdclef-2026|competitions|datasets|models,0,,3,rishikeshjani/perch-onnx-for-birdclef-2026|tuckerarrants/bc2026-distilled-sed-public|tuckerarrants/perch-v2-no-dft-onnx,1,google/bird-vocalization-classifier,birdclef-2026,mtoshidesu__0-934-birdclef-2026-clean-visual-pipeline,mtoshidesu/0-934-birdclef-2026-clean-visual-pipeline
6,bc2026-distilled-sed|bc2026-distilled-sed-public|birdclef-2026|competitions|datasets|models,0,,3,rishikeshjani/perch-onnx-for-birdclef-2026|tuckerarrants/bc2026-distilled-sed-public|tuckerarrants/perch-v2-no-dft-onnx,1,google/bird-vocalization-classifier,birdclef-2026,mtoshidesu__0-937-birdclef-2026-true-end-to-end-pipeline,mtoshidesu/0-937-birdclef-2026-true-end-to-end-pipeline
2,competitions|models,0,,0,,1,google/bird-vocalization-classifier,birdclef-2026,mtoshidesu__birdclef-2026,mtoshidesu/birdclef-2026
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,mtoshidesu__birdclef-2026-0-941-public-lb-onnx-perch-pr,mtoshidesu/birdclef-2026-0-941-public-lb-onnx-perch-pr
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,mtoshidesu__birdclef-2026-0-947-lb-public-pipeline-reproduced,mtoshidesu/birdclef-2026-0-947-lb-public-pipeline-reproduced
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,3,jaejohn/perch-meta|mtoshidesu/birdclef-flow-diagram|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,mtoshidesu__birdclef-2026-visual-cpu-inference,mtoshidesu/birdclef-2026-visual-cpu-inference
1,competitions,0,,0,,0,,birdclef-2026,mtoshidesu__birdclef-visualization-notebook,mtoshidesu/birdclef-visualization-notebook
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,mtoshidesu__lb-improved,mtoshidesu/lb-improved
8,birdclef-2026|competitions|datasets|google-bird-vocalization-classifier|jaejohn-perch-meta|models|notebooks|perch-meta,1,ashok205/tf-wheels,1,jaejohn/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,mtoshidesu__test-0-929-mod-w11-oof-framework-miaaaf,mtoshidesu/test-0-929-mod-w11-oof-framework-miaaaf
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,mtoshidesu__test-0-948,mtoshidesu/test-0-948
1,competitions,0,,0,,0,,birdclef-2026,muhammaddanyalmalik__eda-we-should-do-birdclef-2026,muhammaddanyalmalik/eda-we-should-do-birdclef-2026
1,birdclef-2026,0,,0,,0,,,muhammadsaadalvi__birdclef-2026-wildsound-v8,muhammadsaadalvi/birdclef-2026-wildsound-v8
0,,0,,0,,0,,,myso1987__pytorch-starter1-crop-audio-5s,myso1987/pytorch-starter1-crop-audio-5s
3,competitions|datasets|notebooks,1,myso1987/pytorch-starter1-crop-audio-5s,1,myso1987/birdclef2026-starter-dataset5s,0,,birdclef-2026,myso1987__pytorch-starter2-train-baseline-5s,myso1987/pytorch-starter2-train-baseline-5s
2,competitions|notebooks,1,myso1987/pytorch-starter2-train-baseline-5s,0,,0,,birdclef-2026,myso1987__pytorch-starter3-submit-5s,myso1987/pytorch-starter3-submit-5s
1,competitions,0,,0,,0,,birdclef-2026,nabasaikia__audiodetection,nabasaikia/audiodetection
1,competitions,0,,0,,0,,birdclef-2026,naddsyf__birdclef-2026-pengaruhekstrakkulitmanggis,naddsyf/birdclef-2026-pengaruhekstrakkulitmanggis
5,birdclef-2026|competitions|models|perch-meta|perch-v2-cpu,0,,0,,1,google/bird-vocalization-classifier,birdclef-2026,nadiakhalid__birdclef-2026,nadiakhalid/birdclef-2026
9,birdclef2026-perch-tflite|birdclef2026-sed-ensemble|birdclef2026-sed-v5-trio|competitions|datasets|models|notebooks|perch-onnx-for-birdclef-2026|tf-wheels,1,ashok205/tf-wheels,5,jaejohn/perch-meta|needless090/birdclef2026-perch-tflite|needless090/birdclef2026-sed-ensemble|needless090/birdclef2026-sed-v5-trio|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,needless090__birdclef-2026-iter-pseudo-perch-sed-lb-0-934-s,needless090/birdclef-2026-iter-pseudo-perch-sed-lb-0-934-s
5,birdclef2026-sed-v5-trio|competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,3,jaejohn/perch-meta|needless090/birdclef2026-sed-v5-trio|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,needless090__birdclef-2026-iter-pseudo-perch-sed-lb-0-935-ft,needless090/birdclef-2026-iter-pseudo-perch-sed-lb-0-935-ft
6,birdclef2026-clap-probe|birdclef2026-sed-v5-trio|competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,4,jaejohn/perch-meta|needless090/birdclef2026-clap-probe|needless090/birdclef2026-sed-v5-trio|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,needless090__birdclef-2026-perch-sed-lb-0-946-clap,needless090/birdclef-2026-perch-sed-lb-0-946-clap
2,datasets|notebooks,1,kdmitrie/bc26-tensorflow-2-20-0,1,nicolaischler/linear,0,,,nicolaischler__birdclef-2026-fine-tune-linear-head-on-perch-v2,nicolaischler/birdclef-2026-fine-tune-linear-head-on-perch-v2
8,bc2026-distilled-sed|bc2026-distilled-sed-public|birdclef-2026|competitions|datasets|models|notebooks|perch-meta,2,ashok205/tf-wheels|vyankteshdwivedi/notebook1b25083f0d,6,hideyukizushi/sgkfk-202604041716|jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|tuckerarrants/bc2026-distilled-sed-public|tuckerarrants/birdclef-2026-waveform-cache|tuckerarrants/perch-v2-no-dft-onnx,1,google/bird-vocalization-classifier,birdclef-2026,nina2025__birdclef-2026-eos-3,nina2025/birdclef-2026-eos-3
6,birdclef-2026|competitions|datasets|models|notebooks|perch-meta,2,ashok205/tf-wheels|vyankteshdwivedi/notebook1b25083f0d,6,hideyukizushi/sgkfk-202604041716|jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|tuckerarrants/bc2026-distilled-sed-public|tuckerarrants/birdclef-2026-waveform-cache|tuckerarrants/perch-v2-no-dft-onnx,1,google/bird-vocalization-classifier,birdclef-2026,nina2025__birdclef-2026-eos-4,nina2025/birdclef-2026-eos-4
4,competitions|datasets|models|notebooks,1,kdmitrie/bc26-tensorflow-2-20-0,1,jaejohn/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,norimiya__birdclef-2026-perch-probe-v2-pca-64,norimiya/birdclef-2026-perch-probe-v2-pca-64
1,competitions,0,,0,,0,,birdclef-2026,notaiax__birdclef-interactive-eda-key-findings,notaiax/birdclef-interactive-eda-key-findings
1,competitions,0,,0,,0,,birdclef-2026,novaeniru__pengenalan-pola-data-oddities,novaeniru/pengenalan-pola-data-oddities
1,competitions,0,,0,,0,,birdclef-2026,nvnikhil0001__birdclef-2026-data-analysis-and-sample-submission,nvnikhil0001/birdclef-2026-data-analysis-and-sample-submission
4,competitions|models|notebooks|perch-meta,1,ashok205/tf-wheels,0,,1,google/bird-vocalization-classifier,birdclef-2026,octaviograu__birdclef26-exp-v4-rank-power,octaviograu/birdclef26-exp-v4-rank-power
1,competitions,0,,0,,0,,birdclef-2026,ommodi07__birdclef2026,ommodi07/birdclef2026
3,Title|competitions|models,0,,0,,1,timm/tf-efficientnet,birdclef-2026,onya31__bird-clef-2026-japanese-tutorial,onya31/bird-clef-2026-japanese-tutorial
1,competitions,0,,0,,0,,birdclef-2026,overvalueawareness__bc25-separation-voice-from-data,overvalueawareness/bc25-separation-voice-from-data
5,competitions|datasets|google-perch-embeddings|models|notebooks,1,ashok205/tf-wheels,2,jaejohn/perch-meta|waterjoe/google-perch-embeddings,1,google/bird-vocalization-classifier,birdclef-2026,pacerq__birdclef2026-v34-optimal,pacerq/birdclef2026-v34-optimal
5,competitions|datasets|google-perch-embeddings|models|notebooks,1,ashok205/tf-wheels,2,waterjoe/google-perch-embeddings|yuriygreben/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,pacerq__birdclef2026-v39-combined,pacerq/birdclef2026-v39-combined
4,competitions|datasets|models|notebooks,1,ashok205/tf-wheels,1,yuriygreben/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,pacerq__v43-7-seed-cache-fix,pacerq/v43-7-seed-cache-fix
